"filename", "language", "TypeScript", "Docker", "JSON", "Markdown", "Django HTML", "JavaScript", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\I538959\Documents\kinosystem\kino-backend\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 46
"c:\Users\I538959\Documents\kinosystem\kino-backend\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 33, 5, 3, 41
"c:\Users\I538959\Documents\kinosystem\kino-backend\.github\workflows\test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\I538959\Documents\kinosystem\kino-backend\.github\workflows\testingbranches.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\I538959\Documents\kinosystem\kino-backend\Dockerfile", "Docker", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\I538959\Documents\kinosystem\kino-backend\README.md", "Markdown", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 63
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\base.css", "CSS", 0, 0, 0, 0, 0, 0, 203, 0, 9, 13, 225
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\block-navigation.js", "JavaScript", 0, 0, 0, 0, 0, 60, 0, 0, 6, 14, 80
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\coverage-ts\assets\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\coverage-ts\assets\source-file.js.html", "Django HTML", 0, 0, 0, 0, 186, 0, 0, 0, 0, 14, 200
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\coverage\block-navigation.js.html", "Django HTML", 0, 0, 0, 0, 303, 0, 0, 0, 0, 14, 317
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\coverage\index.html", "Django HTML", 0, 0, 0, 0, 125, 0, 0, 0, 0, 16, 141
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\coverage\prettify.js.html", "Django HTML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 14, 86
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\coverage\sorter.js.html", "Django HTML", 0, 0, 0, 0, 576, 0, 0, 0, 0, 14, 590
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\index.html", "Django HTML", 0, 0, 0, 0, 237, 0, 0, 0, 0, 24, 261
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\middlewares\auth.middlewares.ts.html", "Django HTML", 0, 0, 0, 0, 153, 0, 0, 0, 0, 14, 167
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\middlewares\index.html", "Django HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\models\hall.model.ts.html", "Django HTML", 0, 0, 0, 0, 141, 0, 0, 0, 0, 14, 155
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\models\index.html", "Django HTML", 0, 0, 0, 0, 153, 0, 0, 0, 0, 18, 171
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\models\movie.model.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\models\screening.model.ts.html", "Django HTML", 0, 0, 0, 0, 135, 0, 0, 0, 0, 14, 149
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\models\seat.model.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\models\user.model.ts.html", "Django HTML", 0, 0, 0, 0, 189, 0, 0, 0, 0, 14, 203
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\prettify.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\prettify.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\authentication\authentication.controller.ts.html", "Django HTML", 0, 0, 0, 0, 219, 0, 0, 0, 0, 14, 233
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\authentication\authentication.router.ts.html", "Django HTML", 0, 0, 0, 0, 90, 0, 0, 0, 0, 14, 104
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\authentication\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\customer\customer.controller.ts.html", "Django HTML", 0, 0, 0, 0, 330, 0, 0, 0, 0, 14, 344
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\customer\customer.router.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\customer\index.html", "Django HTML", 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\hall\hall.controller.ts.html", "Django HTML", 0, 0, 0, 0, 349, 0, 0, 0, 0, 16, 365
"c:\Users\I538959\Documents\kinosystem\kino-backend\coverage\routes\hall\hall.router.ts.html", "Django HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 14, 128
